file,size,iter,time,mem
testcases/ref/bool_always_false.mls,4,1,0.03,14296
testcases/ref/bool_always_true.mls,4,0,0.02,14132
testcases/ref/bool_band.mls,14,3,0.02,15940
testcases/ref/bool_bor.mls,14,3,0.02,15928
testcases/ref/bool_impl.mls,13,2,0.02,15528
testcases/ref/bool_neg.mls,8,2,0.02,14504
testcases/ref/bool_xor.mls,20,3,0.02,15940
testcases/ref/list_append.mls,31,6,0.41,19720
testcases/ref/list_compress.mls,56,10,1.35,19672
testcases/ref/list_concat.mls,19,5,0.97,19176
testcases/ref/list_drop.mls,31,5,0.43,19084
testcases/ref/list_even_parity.mls,25,5,0.11,17012
testcases/ref/list_filter.mls,56,8,0.74,19072
testcases/ref/list_fold.mls,42,6,0.72,19672
testcases/ref/list_hd.mls,10,2,0.18,18244
testcases/ref/list_inc.mls,18,4,0.36,18628
testcases/ref/list_last.mls,22,4,0.28,18344
testcases/ref/list_length.mls,13,4,0.29,18480
testcases/ref/list_map.mls,37,6,0.55,19068
testcases/ref/list_nth.mls,33,6,0.34,19652
testcases/ref/list_pairwise_swap.mls,38,7,0.36,18496
testcases/ref/list_rev_append.mls,22,5,0.78,19548
testcases/ref/list_rev_fold.mls,10,3,0.61,18728
testcases/ref/list_rev_snoc.mls,18,5,0.77,19408
testcases/ref/list_rev_tailcall.mls,0,0,120.00,41572
testcases/ref/list_snoc.mls,36,3,0.34,18048
testcases/ref/list_sort_sorted_insert.mls,18,6,1.35,20224
testcases/ref/list_sorted_insert.mls,60,6,0.78,19684
testcases/ref/list_stutter.mls,23,3,0.33,18788
testcases/ref/list_sum.mls,10,2,0.76,18704
testcases/ref/list_take.mls,38,8,0.36,19640
testcases/ref/list_tl.mls,9,2,0.19,18340
testcases/ref/nat_add.mls,22,5,0.14,28152
testcases/ref/nat_iseven.mls,16,4,0.02,15952
testcases/ref/nat_max.mls,23,5,0.27,36176
testcases/ref/nat_pred.mls,7,2,0.02,15904
testcases/ref/tree_binsert.mls,87,6,13.37,29468
testcases/ref/tree_collect_leaves.mls,27,4,5.44,18476
testcases/ref/tree_count_leaves.mls,22,4,5.45,17980
testcases/ref/tree_count_nodes.mls,22,4,5.43,17972
testcases/ref/tree_inorder.mls,27,4,7.77,19112
testcases/ref/tree_map.mls,49,6,5.80,23056
testcases/ref/tree_nodes_at_level.mls,47,7,4.09,20324
testcases/ref/tree_postorder.mls,32,6,8.48,21184
testcases/ref/tree_preorder.mls,27,6,8.04,21160
testcases/ref_new/expr_b.mls,0,0,120.00,52104
testcases/ref_new/expr.mls,36,9,10.19,41496
testcases/ref_new/expr_sub.mls,0,0,120.01,57692
testcases/ref_new/expr_div.mls,0,0,120.01,116828
testcases/ref_new/list_dropeven.mls,28,6,0.36,18584
testcases/ref_new/list_last2.mls,40,7,0.50,18956
testcases/ref_new/list_make.mls,14,3,0.02,16364
testcases/ref_new/list_range.mls,49,7,0.73,29628
testcases/ref_new/nat_mul.mls,27,6,0.79,36228
testcases/ref_new/nat_sub.mls,29,6,0.20,35232
testcases/ref_new/tree_balanced.mls,0,0,120.01,36088
testcases/ref_new/tree_height.mls,23,6,8.64,30820
testcases/ref_new/tree_lastleft.mls,21,6,7.19,24236
testcases/ref_new/tree_notexist.mls,0,0,120.00,28996
testcases/ref_new/tree_sum.mls,28,5,7.86,27192
